URL imagem,Jogador,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
https://i.ibb.co/tBF7Bg2/Fernanda-o.jpg,Fernandão,0.0,0.0,13.0,26.0,34.0,42.0,42.0,46.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
,Hugo,0.0,6.0,6.0,7.0,15.0,18.0,32.0,36.0,40.0,40.0,48.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
,Neymar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,40.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
https://i.ibb.co/XyfGJ8q/Tuta.png,Tuta,0.0,0.0,16.0,32.0,45.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
https://i.ibb.co/P10C1Qx/Alex-Mineiro.jpg,Alex Mineiro,0.0,6.0,21.0,21.0,21.0,30.0,49.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
https://i.ibb.co/F0QHMPY/Iarley.jpg,Iarley,0.0,19.0,19.0,23.0,33.0,36.0,48.0,60.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
,Alex,0.0,6.0,10.0,16.0,21.0,27.0,37.0,37.0,37.0,45.0,45.0,45.0,50.0,51.0,52.0,52.0,52.0,52.0,52.0
,Jonas,0.0,0.0,0.0,0.0,1.0,4.0,14.0,28.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
,Kléber Pereira,0.0,0.0,0.0,0.0,0.0,16.0,37.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
,Jadson,0.0,3.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,23.0,24.0,28.0,41.0,41.0,47.0,51.0,51.0,51.0
https://i.ibb.co/z7dCWDM/Alex-Dias.jpg,Alex Dias,0.0,0.0,22.0,41.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
https://i.ibb.co/0D5pyqB/Christian.jpg,Christian,0.0,10.0,26.0,34.0,45.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
,Felipe,0.0,0.0,0.0,0.0,0.0,10.0,23.0,36.0,39.0,47.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
,William,0.0,9.0,11.0,11.0,11.0,11.0,11.0,21.0,21.0,35.0,35.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0
,Guilherme,0.0,0.0,0.0,0.0,0.0,10.0,28.0,28.0,28.0,30.0,33.0,34.0,37.0,37.0,43.0,48.0,50.0,50.0,50.0
,Leandro Damião,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,28.0,33.0,37.0,41.0,43.0,43.0,53.0,53.0,53.0
,Nilmar,0.0,10.0,18.0,24.0,26.0,26.0,39.0,44.0,44.0,44.0,44.0,44.0,46.0,49.0,49.0,49.0,49.0,49.0,49.0
,Vágner Love,0.0,0.0,8.0,8.0,8.0,8.0,8.0,13.0,17.0,17.0,30.0,30.0,30.0,44.0,44.0,44.0,44.0,49.0,49.0
,Renato Abreu,0.0,3.0,7.0,19.0,29.0,31.0,31.0,31.0,35.0,40.0,46.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
https://i.ibb.co/YRnzK4N/Dimba.jpg,Dimba,0.0,31.0,38.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
,Dejan Petković,0.0,0.0,17.0,23.0,28.0,29.0,33.0,41.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
,Bruno Henrique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,15.0,16.0,37.0,46.0
,Thiago Ribeiro,0.0,0.0,0.0,4.0,7.0,7.0,10.0,17.0,25.0,26.0,26.0,33.0,36.0,45.0,45.0,45.0,45.0,45.0,45.0
,Henrique Dourado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,19.0,21.0,39.0,45.0,45.0,45.0
,Kieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,19.0,19.0,25.0,25.0,34.0,37.0,44.0,45.0,45.0
https://i.ibb.co/zny6cpy/Marcel.jpg,Marcel,0.0,20.0,20.0,20.0,20.0,25.0,34.0,34.0,41.0,41.0,42.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
,Dudu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,19.0,28.0,35.0,44.0,44.0
,Éder Luís,0.0,0.0,0.0,0.0,0.0,10.0,15.0,27.0,36.0,40.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
https://i.ibb.co/jLgnmrH/Romario.jpg,Romário,0.0,13.0,18.0,40.0,40.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
,Alex,0.0,6.0,10.0,16.0,21.0,27.0,37.0,37.0,37.0,45.0,45.0,45.0,50.0,51.0,52.0,52.0,52.0,52.0,52.0
,Giorgian De Arrascaeta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,16.0,22.0,35.0,43.0
https://i.ibb.co/CnBgK31/Grafite.jpg,Grafite,0.0,12.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,42.0,42.0,42.0,42.0,42.0
,Wagner,0.0,0.0,0.0,1.0,12.0,18.0,23.0,23.0,23.0,23.0,23.0,27.0,34.0,35.0,35.0,37.0,41.0,41.0,41.0
,Nenê,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,17.0,17.0,22.0,30.0,33.0,41.0
,Luciano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,12.0,13.0,13.0,16.0,23.0,41.0
,Finazzi,0.0,6.0,6.0,20.0,28.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
,Andrés D’Alessandro,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,9.0,18.0,19.0,30.0,36.0,36.0,36.0,36.0,39.0,40.0,40.0
,Éverton Ribeiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,21.0,21.0,21.0,25.0,31.0,33.0,40.0
,Emerson Sheik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,21.0,25.0,27.0,33.0,35.0,35.0,39.0,39.0,39.0,39.0
