Origin,IMAGE,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Kentucky.svg/1920px-Flag_of_Kentucky.svg.png,Kentucky,69.6,,,,,,,,,,70.0,,,,,,,,,,72.8,,,,,,,,,,74.4,,,,,,,,,,75.1,,,,,,,,,,75.9,,,,,,,,,75.6,,,75.1
,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_Louisiana.svg/1920px-Flag_of_Louisiana.svg.png,Louisiana,67.9,,,,,,,,,,68.7,,,,,,,,,,71.6,,,,,,,,,,73.1,,,,,,,,,,74.1,,,,,,,,,,75.8,,,,,,,,,76.1,,,75.5
,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Maine.svg/1280px-Flag_of_Maine.svg.png,Maine,70.2,,,,,,,,,,70.7,,,,,,,,,,74.4,,,,,,,,,,76.6,,,,,,,,,,77.6,,,,,,,,,,79.1,,,,,,,,,78.7,,,78.1
,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Maryland.svg/1280px-Flag_of_Maryland.svg.png,Maryland,68.6,,,,,,,,,,70.2,,,,,,,,,,73.3,,,,,,,,,,74.9,,,,,,,,,,76.2,,,,,,,,,,79.0,,,,,,,,,79.2,,,78.8
,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Massachusetts.svg/1920px-Flag_of_Massachusetts.svg.png,Massachusetts,70.5,,,,,,,,,,71.9,,,,,,,,,,74.8,,,,,,,,,,76.8,,,,,,,,,,78.2,,,,,,,,,,80.5,,,,,,,,,80.6,,,79.9
,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Flag_of_Michigan.svg/1280px-Flag_of_Michigan.svg.png,Michigan,70.2,,,,,,,,,,70.7,,,,,,,,,,73.7,,,,,,,,,,75.1,,,,,,,,,,76.4,,,,,,,,,,78.0,,,,,,,,,78.1,,,77.6
,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Minnesota.svg/1920px-Flag_of_Minnesota.svg.png,Minnesota,71.8,,,,,,,,,,73.0,,,,,,,,,,76.1,,,,,,,,,,77.8,,,,,,,,,,79.0,,,,,,,,,,80.8,,,,,,,,,80.9,,,80.8
,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_Mississippi.svg/1920px-Flag_of_Mississippi.svg.png,Mississippi,67.6,,,,,,,,,,68.4,,,,,,,,,,71.8,,,,,,,,,,73.1,,,,,,,,,,73.4,,,,,,,,,,74.8,,,,,,,,,74.9,,,74.6
,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Missouri.svg/1920px-Flag_of_Missouri.svg.png,Missouri,70.2,,,,,,,,,,70.6,,,,,,,,,,73.6,,,,,,,,,,75.3,,,,,,,,,,76.0,,,,,,,,,,77.4,,,,,,,,,77.3,,,77.1
,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_Montana.svg/1280px-Flag_of_Montana.svg.png,Montana,69.6,,,,,,,,,,70.8,,,,,,,,,,73.8,,,,,,,,,,76.4,,,,,,,,,,77.3,,,,,,,,,,78.5,,,,,,,,,78.9,,,77.0
,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Nebraska.svg/1920px-Flag_of_Nebraska.svg.png,Nebraska,72.0,,,,,,,,,,72.5,,,,,,,,,,75.4,,,,,,,,,,76.9,,,,,,,,,,78.3,,,,,,,,,,79.7,,,,,,,,,79.6,,,79.2
,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_Nevada.svg/1280px-Flag_of_Nevada.svg.png,Nevada,67.6,,,,,,,,,,69.3,,,,,,,,,,72.6,,,,,,,,,,74.5,,,,,,,,,,75.9,,,,,,,,,,77.8,,,,,,,,,78.7,,,78.0
,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_New_Hampshire.svg/1280px-Flag_of_New_Hampshire.svg.png,New Hampshire,70.7,,,,,,,,,,71.6,,,,,,,,,,75.1,,,,,,,,,,77.0,,,,,,,,,,78.5,,,,,,,,,,80.3,,,,,,,,,79.7,,,79.1
