Player,1969-1970,1970-1971,1971-1972,1972-1973,1973-1974,1974-1975,1975-1976,1976-1977,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
Ray Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102.0,2704.0,3560.0,5369.0,7175.0,8678.0,10391.0,11678.0,13545.0,15500.0,16954.0,18227.0,19661.0,20965.0,22286.0,22941.0,23804.0,24505.0,24505.0,24505.0,24505.0,24505.0,24505.0,24505.0,24505.0,24505.0,24505.0
Robert Parish,,,,,,,,697.0,1722.0,3026.0,4249.0,5801.0,7391.0,8900.0,10420.0,11814.0,13119.0,14522.0,15583.0,17069.0,18312.0,19519.0,20634.0,21628.0,22494.0,22883.0,23173.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0,23334.0
Latrell Sprewell,,,,,,,,,,,,,,,,,,,,,,,,1182.0,2902.0,4322.0,5795.0,7733.0,8032.0,8638.0,10162.0,11526.0,13101.0,14316.0,15691.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0
Reggie Theus,,,,,,,,,,1338.0,2998.0,4547.0,6055.0,8008.0,8753.0,10094.0,11597.0,13197.0,14771.0,16067.0,17505.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0,19015.0
Calvin Murphy,,1298.0,2789.0,3790.0,5442.0,6897.0,8619.0,10083.0,12032.0,13692.0,15212.0,16478.0,17133.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0,17949.0
Clifford Robinson,,,,,,,,,,,,,,,,,,,,,746.0,1703.0,2719.0,4289.0,5936.0,7537.0,9181.0,10405.0,11538.0,12357.0,13835.0,15180.0,16346.0,17338.0,18305.0,18838.0,19388.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0,19591.0
Carmelo Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725.0,3283.0,5405.0,7286.0,9264.0,10768.0,12711.0,14681.0,15926.0,17846.0,19958.0,20924.0,22497.0,24156.0,25417.0,25551.0,26446.0,27370.0,28289.0,28289.0
Dirk Nowitzki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.0,1820.0,3604.0,5383.0,7394.0,9074.0,11106.0,13257.0,15173.0,16990.0,19084.0,21111.0,22792.0,24134.0,25051.0,26786.0,28119.0,29491.0,30260.0,31187.0,31560.0,31560.0,31560.0,31560.0,31560.0
Damian Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.0,3257.0,4977.0,6856.0,8880.0,10842.0,12909.0,14887.0,16815.0,17510.0,18149.0
Pau Gasol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441.0,2996.0,4377.0,5374.0,7002.0,8228.0,9474.0,11002.0,12192.0,13733.0,14862.0,15535.0,16576.0,18022.0,19209.0,20001.0,20776.0,20894.0,20894.0,20894.0,20894.0,20894.0
Chet Walker,10718,12498,14217,15787,17370,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831,18831
Dick Van,6340,8111,9730,11220,12609,13733,14480,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079,15079
Michael Jordan,,,,,,,,,,,,,,,,2313.0,2721.0,5762.0,8630.0,11263.0,14016.0,16596.0,19000.0,21541.0,21541.0,21998.0,24489.0,26920.0,29277.0,29277.0,29277.0,29277.0,30652.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0,32292.0
Pete Maravich,,1880.0,3155.0,5218.0,7325.0,9025.0,10629.0,12902.0,14254.0,15359.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0,15948.0
Dan Issel,,,,,,,,1765.0,3511.0,4891.0,6842.0,8591.0,10443.0,12169.0,13675.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0,14659.0
Patrick Ewing,,,,,,,,,,,,,,,,,998.0,2354.0,4007.0,5822.0,8169.0,10323.0,12293.0,14252.0,16191.0,18077.0,19788.0,21539.0,22079.0,22736.0,23665.0,24425.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0,24815.0
Gary Payton,,,,,,,,,,,,,,,,,,,,,,588.0,1352.0,2462.0,3811.0,5500.0,7063.0,8848.0,10419.0,11503.0,13485.0,15308.0,17123.0,18757.0,19956.0,20829.0,21455.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0,21813.0
Moses Malone,,,,,,,,1083.0,2227.0,4258.0,6377.0,8599.0,11119.0,13027.0,14636.0,16577.0,18336.0,20096.0,21703.0,23340.0,24868.0,25737.0,27016.0,27066.0,27360.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0,27409.0
World B.,,,,,,,590.0,1858.0,3049.0,5293.0,7348.0,8913.0,10702.0,12445.0,14114.0,15711.0,17465.0,17581.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0,17955.0
Kevin Willis,,,,,,,,,,,,,,,,765.0,1775.0,3079.0,3950.0,3950.0,4956.0,6007.0,7487.0,8922.0,10453.0,11607.0,12401.0,13243.0,14548.0,15052.0,15656.0,16378.0,16693.0,16990.0,17154.0,17241.0,17241.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0,17253.0
