Player,1969-1970,1970-1971,1971-1972,1972-1973,1973-1974,1974-1975,1975-1976,1976-1977,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
Walter Davis,,,,,,,,,1959.0,3827.0,5440.0,6842.0,7636.0,9157.0,10714.0,11059.0,12582.0,14449.0,15666.0,16933.0,18140.0,19064.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0,19521.0
LaMarcus Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.0,1915.0,3385.0,4778.0,6547.0,7738.0,9298.0,10901.0,12562.0,13893.0,15136.0,16871.0,18598.0,19599.0,19951.0,20558.0,20558.0
Mark Aguirre,,,,,,,,,,,,,955.0,2934.0,5264.0,7319.0,8989.0,11045.0,12977.0,14488.0,15587.0,16691.0,17542.0,18045.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0,18458.0
Alex English,,,,,,,,310.0,1100.0,2399.0,3717.0,5646.0,7728.0,10054.0,12221.0,14483.0,16897.0,19242.0,21242.0,23417.0,24850.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0,25613.0
Dick Barnett,12907,14180,15144,15336,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358,15358
Dale Ellis,,,,,,,,,,,,,,,549.0,1216.0,1724.0,3765.0,5703.0,7956.0,9249.0,10106.0,11378.0,12744.0,13914.0,14832.0,16036.0,17397.0,18331.0,18826.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0,19004.0
Russell Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256.0,2578.0,4371.0,5929.0,7832.0,8834.0,10720.0,12598.0,15156.0,17184.0,18859.0,20412.0,21857.0,23298.0,23781.0
Oscar Robertson,22009,23578,24692,25822,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710
John Drew,,,,,,1442.0,3102.0,4892.0,6515.0,8310.0,9869.0,11323.0,12621.0,13553.0,14983.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0,15291.0
Paul George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.0,1274.0,2651.0,4388.0,4441.0,6315.0,8090.0,9824.0,11983.0,13016.0,14275.0,15029.0,15668.0
Tracy McGrady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.0,909.0,2122.0,4187.0,6135.0,8542.0,10420.0,12423.0,13570.0,15317.0,16744.0,17289.0,17534.0,18108.0,18381.0,18381.0,18381.0,18381.0,18381.0,18381.0,18381.0,18381.0,18381.0,18381.0,18381.0,18381.0
Karl Malone,,,,,,,,,,,,,,,,,1203.0,2982.0,5250.0,7576.0,10116.0,12498.0,14770.0,16987.0,19050.0,21237.0,23343.0,25592.0,27782.0,28946.0,31041.0,32919.0,34707.0,36374.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0,36928.0
Kevin McHale,,,,,,,,,,,,818.0,1935.0,3094.0,4605.0,6170.0,7618.0,9626.0,11072.0,12830.0,14542.0,15793.0,16573.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0,17335.0
Magic Johnson,,,,,,,,,,,1387.0,2185.0,3632.0,4958.0,6136.0,7542.0,8896.0,10805.0,12213.0,13943.0,15708.0,17239.0,17239.0,17239.0,17239.0,17239.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0,17707.0
Tony Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705.0,1974.0,3073.0,4404.0,5914.0,7343.0,8638.0,10219.0,11113.0,12481.0,13576.0,14917.0,16051.0,17027.0,17884.0,18522.0,18943.0,19473.0,19473.0,19473.0,19473.0,19473.0
Earl Monroe,5978,7710,8459,9622,10195,11828,13402,14935,16289,17076,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454,17454
